title,description,cuisine,course,prep,cook,serves,taste,difficulty,diet_tags,ingredients,method,adaptations,source
"Miso Chilli Roasted Tofu, Broccoli & Cashews (No Onion/Garlic)","Easy sheet-pan dinner: tofu, broccoli and cashews roasted in an umami-rich sesame, ginger and miso marinade. Adapted egg-free vegan style without onion or garlic; hing stands in for allium depth. Serve over noodles, steamed vegetables or a crunchy cabbage salad.",Fusion,Main Course,15 minutes,25-30 minutes,4,Umami & Spicy,Easy,vegan; vegetarian; egg-free,"400 g firm tofu, pressed and cubed | 1 large head broccoli, cut into florets | 75 g raw cashews | 2 tablespoons white or chickpea miso paste | 2 tablespoons tamari or soy sauce | 1 tablespoon toasted sesame oil | 1 tablespoon neutral oil | 1 tablespoon maple syrup | 1 tablespoon rice vinegar | 1 tablespoon grated fresh ginger | 1-2 teaspoons chilli flakes or chilli paste, to taste | 1 pinch hing (asafoetida) | 1 tablespoon sesame seeds (optional) | Fresh mint or coriander leaves, to finish (optional)","1. Heat the oven to 200°C / 400°F. Line a large baking tray. | 2. Warm the neutral oil briefly, bloom the hing in it for a few seconds, then whisk with miso, tamari, sesame oil, maple syrup, rice vinegar, ginger and chilli until smooth. | 3. Toss the tofu cubes in half the marinade and spread on the tray. | 4. Toss broccoli and cashews with the remaining marinade and arrange around the tofu in a single layer. | 5. Roast 25-30 minutes, turning once, until the tofu is golden at the edges and the broccoli is tender with charred tips. | 6. Scatter sesame seeds and herbs if using, and serve hot.",Reconstructed from Botanical Kitchen public recipe description (member-only full amounts were not publicly readable). Kept vegan and egg-free; no onion or garlic; hing (asafoetida) added for allium-free savoury depth.,https://www.botanicalkitchen.com/recipes/miso-chill-roasted-tofu-broccoli-cashews/
Mawa Gujiya,These gujiyas stuffed with a rich stuffing is a must at Holi celebrations.,Indian  Course:,Mithais,26-30 minutes,21-25 minutes,4,Sweet,Moderate,vegetarian; egg-free; lacto-vegetarian,2 cups Khoya/mawa grated | 2 tablespoons Castor sugar | 1 tablespoon Walnuts chopped | 1 tablespoon Cashewnuts chopped | 1 tablespoon Dried figs chopped | 1 tablespoon Almonds chopped | 1 tablespoon Dates chopped | 2 cups Refined flour (maida) | 3 tablespoons Ghee to deep fry Oil,"1. Heat a non-stick pan. | 2. Add khoya and castor sugar, mix and cook till khoya melts. | 3. Add walnuts, cashewnuts, figs, almonds and dates, mix well and cook for a minute. | 4. Remove from heat and set aside to cool. | 5. Knead together flour and 3 tablespoons ghee with sufficient cold water to a stiff dough. | 6. Divide the dough into equal portions, grease with some ghee and roll out into small discs. | 7. Stuff each disc with a portion of khoya mixture and shape into gujiyas. | 8. Heat sufficient ghee in a kadai. | 9. Deep-fry gujiyas on medium heat till golden brown. | 10. Drain on an absorbent paper. | 11. Serve hot.",Egg-free.,vegetarian-recipes.txt
Mawa Muffin with Shrikhand Frosting,A jolly good fusion of two different cuisines. The little ones are going to gobble up these muffins within no time,Fusion  Course:,Desserts,26-30 minutes,21-25 minutes,4,Sweet,Moderate,vegetarian; egg-free; lacto-vegetarian,"0 grams Mawa / khoya, grated | 0 grams Refined flour (maida) | 0 grams Butter, softened | 0 grams Sweet condensed milk 1/ | 2 teaspoon Baking powder 1/ | 2 teaspoon Baking soda | 5 millilitres Milk | 1 teaspoon Vanilla essence as required Kesar shrikhand to garnish Sutarfeni to garnish Wafer biscuits to garnish Chocolate chips to garnish Small carrot triangles, blanched","1. Preheat the oven to 180° C. | 2. Take butter in a bowl and cream it lightly with an electric hand blender. | 3. Add khoya and continue to cream with the hand blender at a low speed. | 4. Add condensed milk and mix well. | 5. Sift together refined flour, baking powder and baking soda into another bowl. | 6. Gradually add this flour mixture to the butter mixture and mix in cut and fold method ensuring there are no lumps formed. | 7. Add milk and vanilla essence and continue to mix. | 8. Put this mixture into muffin moulds till they are ¾ full. | 9. Keep the moulds on a baking tray. | 10. Keep the tray in the preheated oven and bake for 20-25 minutes. | 11. Remove the tray from the oven and let them cool down to room temperature. | 12. Remove the muffins from the moulds and keep them on a serving plate. | 13. Put the shrikhand in a piping bag and pipe out over each muffins. | 14. Garnish each muffin with sutarfeni, a wafer biscuit, chocolate chips and carrot triangles and serve.",Egg-free.,vegetarian-recipes.txt
Mawa Wale Aloo,"A rich potato dish fit for a royal banquet. Rich gravy made from mawa, tomatoes and Indian spices and cooked with potatoes.",Indian  Course:,Main,21-25 minutes,26-30 minutes,4,Spicy,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup grated mawa + to garnish | 4 medium potatoes, boiled and peeled | 1 tablespoon oil | 1 pinch hing (asafoetida) | 1 tbsp + | 1 teaspoon ghee 1/ | 4 cup raisins 1/ | 4 cup cashewnuts, roughly chopped | 1 tablespoon finely chopped ginger | 1 1/ | 2 teaspoons red chilli powder | 2 tablespoons coriander powder | 1 tablespoon garam masala powder | 1 teaspoon cumin powder 1/ | 4 teaspoon turmeric powder | 3 tablespoons roughly crushed cashewnuts | 1 cup milk 2- | 3 green chillies, finely chopped","1. Heat oil and 2 tbsps ghee in a deep non-stick pan, then add a pinch of hing. | 2. Cut the potatoes into thick slices, add to the pan and cook on medium heat shallow-fry, turning sides, till potatoes turn light golden brown on both sides. | 3. Drain into a bowl and set aside. | 4. Add raisins to the same pan, sauté for a few seconds. | 5. Drain into another bowl. | 6. Add ¼ cup roughly chopped cashewnuts to the same pan and sauté till lightly brown. | 7. Drain into a bowl. | 8. Add ginger and to the same pan and sauté till turn golden brown. | 9. Add tomatoes, salt, red chilli powder, coriander powder, garam masala powder and cumin powder and mix well. | 10. Add turmeric powder and crushed cashewnuts, mix and cook till tomatoes are pulpy. | 11. Switch off heat and transfer the mixture into a blender and ½ cup milk and blend to a fine paste. | 12. Switch on heat, add remaining ghee and green chillies to the same pan. | 13. Add remaining milk to the ground mixture and add the mixture to the pan. | 14. Rinse the blender jar with ½ cup water and add to the remaining gravy. | 15. Add ½ cup water to the gravy and mix well. | 16. Add the fried potatoes, half the fried cashewnuts, 1 tbsp fried raisins and mawa, mix and cook on medium heat for 4-5 minutes. | 17. Transfer into a serving plate, garnish with mawa, remaining fried cashewnuts and remaining fried raisins. | 18. Serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Methi Tamatar ki Sabzi,"A healthy meal – fenugreek and tomatoes cooked with tomatoes, Indian spices and served with missi rotis.",Indian  Course:,Main,16-20 minutes,20-25 minutes,4,Spicy,Easy,vegan; vegetarian; egg-free,"1 Large bunch fenugreek leaves (methi), cleaned 2- | 3 medium tomatoes, finely chopped | 2 tbsps mustard oil + for drizzling 1/ | 2 teaspoon asafoetida | 1 teaspoon cumin seeds | 1 tablespoon chopped ginger | 3 green chillies, finely chopped | 1 tablespoon coriander powder | 1 teaspoon red chilli powder 1/ | 1 tablespoon lemon juice Fresh mint leaves to garnish","1. Heat kachchi ghani mustard oil in a metal kadai till it begins to smoke. | 2. Cool it slightly, add asafoetida, cumin seeds, ginger and mix and sauté for 2-3 minutes. | 3. Add green chillies and mix and sauté till turn translucent. | 4. Add fenugreek leaves and mix well. | 5. Add coriander powder, red chilli powder, turmeric powder and salt, mix and sauté for 4-5 minutes. | 6. Add tomatoes, mash and cook till it turns soft and pulpy. | 7. Divide the dough into equal portions and roll out into medium size discs or rotis dusting with flour. | 8. Heat a non-stick tawa. | 9. Place the discs on it, one at a time, and roast till well browned and evenly cooked from both the sides. | 10. Keep them on a serving platter. | 11. Add lemon juice to the sabzi and mix well. | 12. Drizzle some mustard oil on top. | 13. Brush some mustard oil on the missi rotis Transfer sabzi into a serving bowl, garnish with mint leaves and serve hot with missi rotis.",Removed onion/garlic (and related alliums). Egg-free.,vegetarian-recipes.txt
Methi Thalipeeth,"A nutritious Indian flatbread made with fenugreek leaves and a blend of spices, cooked to perfection on a griddle, offering a delightful burst of flavors in every bite.",Maharashtrian  Course:,Snacks and Starters,26-30 minutes,21-25 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,"1 pinch hing (asafoetida) | ½ medium bunch fenugreek leaves (methi), chopped","1. Take fenugreek leaves in a bowl, add salt and set aside. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Take bhajnee flour, turmeric powder and salt in a mixing bowl. | 4. Squeeze water from the methi leaves and add to the bhajnee mixture. | 5. Add sufficient water and knead to medium soft dough. | 6. Place a plastic sheet on a worktop and grease it with ghee. | 7. Take a big portion of mixture and place it on the sheet. | 8. Apply ghee on another sheet, place it over the mixture and flatten the mixture. | 9. Make more thalipeeth with the remaining mixture in the same way. | 10. Heat a non-stick tawa. | 11. Place a star shaped cookie cutter over the thalipeeth and cut out stars. | 12. Gently remove the cut outs and place them on the heated tawa. | 13. Make a cavity in centre of each star. | 14. Pour little ghee into the cavities and shallow fry, turning sides, till crisp. | 15. Serve hot with yogurt.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Mexican Cheese Pani Puri,"A fusion delight blending the tangy, spicy flavors of traditional Indian pani puri with the creamy richness of Mexican cheese.",Fusion  Course:,Snacks and Starters,26-30 minutes,11-15 minutes,4,Tangy,Easy,vegetarian; egg-free; lacto-vegetarian,"150gms processed cheese, cut into small cubes 1½ cups grated processed cheese + to sprinkle | 4 crisp puris | 4 tablespoons oil | 1 pinch hing (asafoetida) | 2 medium 1mediumgreen capsicum, chopped | 2 medium tomatoes, chopped 1cup corn kernels, boiled | 3 tablespoons red chilli sauce | 1 tablespoon + | 2 teaspoons dried mixed herbs + to sprinkle 1tablespoon + | 2 teaspoons red chilli flakes + to sprinkle | 2 cups milk ¼ teaspoon turmeric powder Chaat masala to sprinkle Micro greens for garnish","1. Heat oil in a non-stick pan, add capsicum, tomatoes, corn kernels, green peas, salt, tomato ketchup, red chilli sauce, 1tablespoon mixed herbs and 1tablespoon red chilli flakes and sauté on medium heatfor 2-3 minutes, then add a pinch of hing. | 2. Transfer the filling into a bowl. | 3. Add processed cheese cubesand mix well. | 4. To prepare cheese sauce, heat milk in a non-stick pan. | 5. Add grated processed cheese, turmeric powder and mix well. | 6. Cook on medium heat, stirring continuously, for 2-3 minutesor till the mixture boils and thickens.Transfer into another bowl. | 7. Add remaining mixed herbs and remaining red chilli flakes to the cheese sauceand mix well. | 8. Set aside to cool down. | 9. Arrangesmall serving glasses on a platter. | 10. Pour cheese sauce in each glass. | 11. Make a dent in centre of each puri. | 12. Stuff each puri with the filling and place one on the rim of each serving glass. | 13. Sprinkle mixed herbs, red chilli flakes and chaat masala on them. | 14. Garnish each puri with micro greens and sprinkle grated processed cheese on top. | 15. Serve immediately.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Millet Phirni,"This is the recipe for the classic sweet pudding with a healthy twist - Black Raisin & Millet Phirni, Yumm! This is",Indian  Course:,Desserts,,20-25 minutes,4,Sweet,,vegetarian; egg-free; lacto-vegetarian,"½ cup Premium Black Raisins + for garnish | 4 cups milk ¼ cup barnyard millet (samo) ¼ cup sugar ½ teaspoon green cardamom powder Silver warq for garnish Blanched, peeled, and slivered pistachios for garnish","1. Take Premium Black Raisins in a bowl. | 2. Add 1 cup water, set aside to soak for 10-15 minutes. | 3. Bring milk to a boil in a deep non-stick pan. | 4. Add barnyard millet, mix and cook for 8-10 minutes while stirring in between. | 5. Meanwhile, put the soaked raisins into a blender jar and blend to a fine paste. | 6. Once the millet is cooked and the mixture thickens, add the blended paste and mix well. | 7. Add sugar, mix and cook for 2-3 minutes or till sugar melts. | 8. Add green cardamom powder and mix well. | 9. Switch the heat off, transfer into individual serving earthen bowls and allow to cool. | 10. Once cooled, refrigerate for 1-2 hours or till chilled. | 11. Garnish with silver warq, Premium Black Raisins and slivered pistachios.",Egg-free.,vegetarian-recipes.txt
Mini Uttapam,"An integral part of South Indian breakfast snack menu, these uttapams are made especially to lure the kids to eat healthy.",South Indian,Snacks and Starters,7-8 hour,21-25 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,1 cup finger millet (ragi) flour ¼ cup rice flour,"1. Take nachni flour, rice flour, urad dal flour and yogurt in a bowl and mix well. | 2. Add sufficient water and make a semi thick batter. | 3. Set aside to ferment overnight. | 4. Add salt, asafoetida and turmeric powder to the batter and mix well. | 5. Heat oil in a non-stick pan and spread small portions of batter with a small spoon. | 6. Place 2 green peas as eyes, small carrot piece as nose, small beetroot crescent as smiling face. | 7. Press slightly and turn it over and cook on other side. | 8. Cook on medium heat till golden brown on both sides Line a serving platter with a banana leaf. | 9. Transfer the uttapams on it. | 10. Serve hot with sambhar and coconut chutney.",Egg-free.,vegetarian-recipes.txt
Mixed Palak Soya Saag,"Rich in all the essential nutrients, this delicious dish is a winner. A seasonal recipe made from spinach and mustard leaves.",Indian  Course:,Main,21-25 minutes,26-30 minutes,4,Spicy,Easy,vegetarian; egg-free; lacto-vegetarian,"2 medium bunches fresh spinach leaves, shredded | 2 medium bunches fresh mustard leaves, shredded | 1 medium bunch fresh bathua leves, roughly chopped | 1 medium bunch fresh fenugreek leaves, shredded | 2 cups soya chunks, soaked and boiled | 4 tablespoons oil | 1 pinch hing (asafoetida) | 1 teaspoon cumin seeds | 1 tablespoon finely chopped ginger | 3 green chillies, finely chopped | 1 1/ | 2 tablespoons coriander powder 1/ | 2 teaspoon turmeric powder 1/ | 2 teaspoon cumin powder | 1 teaspoon red chilli powder | 1 teaspoon garam masala powder + to sprinkle | 1 teaspoon lemon juice Cottage cheese (paneer), grated to garnish","1. Heat soya oil in a metal kadai, add cumin seeds and sauté till fragrant, then add a pinch of hing. | 2. Add ginger, and sauté till turns light brown. | 3. Add green chillies and mix and sauté till turn light brown. | 4. Add tomatoes and mix. | 5. Add salt, mix well and cook till tomatoes turn soft and pulpy. | 6. Add coriander powder, turmeric powder, cumin powder, red chilli powder and garam masala powder, mix and cook till the oil separates. | 7. Add spinach leaves, mustard leaves, bathua leaves and fenugreek leaves, mix well and cook till the leaves wilt. | 8. Transfer half the cooked saag into a blender jar leaving the remaining in the kadai, blend into a fine paste and add back to the kadai. | 9. Mix well. | 10. Add water as required mix well. | 11. Add soya chunks, mix well and cook on low heat for 6-8 minutes. | 12. Add lemon juice and mix well. | 13. Transfer into a serving bowl, garnish with cottage cheese, sprinkle some garam masala powder on top and serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Moongphalli ka Halwa,Halwas can be made variously and this one is as tasty as the rest of them,Indian  Course:,Mithais,0-5 minutes,16-20 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"4 cup Peanuts (moongphalli) 3/ | 4 cup Peanut butter 1/ | 2 cup Ghee 1/ | 4 cup Semolina (suji/rawa) 1/ | 2 cup Jaggery, grated | 1 teaspoon Green cardamom powder a pinch Saffron strands | 1 cup Khoya (mawa)","1. Heat ghee in a non-stick pan, add semolina and sauté till fragrant. | 2. Meanwhile heat another non-stick pan, add some water, jaggery and green cardamom powder, mix and cook, stirring, till jaggery melts. | 3. Add peanuts and peanut butter to the semolina and mix well. | 4. Add jaggery water and cook till the mixture thicken, stirring continuously. | 5. Add saffron and mix. | 6. Add khoya and mix till it melts. | 7. Transfer into a serving bowl and serve warm.",Egg-free.,vegetarian-recipes.txt
Mughal Sarai Dal Kachori,Deep fried spicy moong dal stuffed kachoris served with a tangy chutney,Indian  Course:,Snacks and Starters,1.30-2 hour,26-30 minutes,4,Tangy,Moderate,vegan; vegetarian; egg-free,"1 cup split skinless green gram (dhuli moong dal), soaked for | 1 hour and boiled with turmeric powder and salt | 0 grams readymade kachori dough | 2 tablespoons oil + for deep-frying | 1 pinch hing (asafoetida) | 1 teaspoon cumin seeds (jeera) | 1 teaspoon carom seeds (ajwain) | 1 teaspoon fennel seeds (saunf) | 1 tablespoon finely chopped ginger ¼ teaspoon turmeric powder | 1 teaspoon red chilli powder 1½ tablespoons coriander powder | 1 teaspoon garam masala powder 1½ teaspoons dried mango powder (amchur) | 1 small potato, boiled, peeled and mashed | 2 tablespoons oil | 3 tablespoons tamarind paste | 1 teaspoon red chilli powder | 1 teaspoon garam masala powder ½ cup sugar | 1 small potato, boiled and finely chopped","1. To make filling, heat 2 tablespoons oil in a non-stick pan, then add a pinch of hing. | 2. Add cumin seeds and sauté till fragrant. | 3. Add carom seeds, fennel seeds and ginger, mix and sauté for 1-2 minutes. | 4. Add green gram, turmeric powder, red chilli powder, coriander powder, garam masala powder and dried mango powder, mix well and sauté for 2-3 minutes. | 5. Transfer into a bowl. | 6. Add potato, and salt and mix well. | 7. Heat sufficient oil in a kadai. | 8. Divide the kachori dough into equal portions and roll out into small discs. | 9. Place a spoonful of filling in the centre and bring the edges together to make a potli. | 10. Flatten a little into kachoris. | 11. Slide the kachoris, a few at a time, into hot oil and deep-fry till golden brown. | 12. Drain on absorbent paper. | 13. To make chutney, heat oil on a non-stick pan, add fennel seeds, cumin seeds, carom seeds and sauté for 2-3 minutes. | 14. Add tamarind paste and mix. | 15. Add 1½ cups water, red chilli powder, garam masala powder and sugar. | 16. Mix, bring to a boil and strain into a bowl. | 17. Add potato and and mix well. | 18. Chop coriander sprigs and add. | 19. Crack the kachoris from centre, fill in the prepared chutney, arrange them on a serving plate and serve.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Multi Grain Dal Dhokli,A popular Gujarati one meal dish made healthier by using multi grain flour,Gujarati  Course:,Dals and Kadhis,41-50 minutes,31-40 minutes,4,Spicy,Moderate,vegetarian; egg-free; lacto-vegetarian,"1 cup Multi grain flour | 1 cup Split pigeon pes (tuvar dal), soaked for 1/ | 2 tsp + pinches Turmeric powder 1/ | 2 cup Raw peanuts | 2 tablespoons Gram flour (besan) | 1 pinch Red chilli powder | 1 tablespoon Ghee 1/ | 2 teaspoon Mustard seeds 1/ | 4 teaspoon Asafoetida (hing) 1/ | 2 teaspoon Fenugreek seeds (methi dana) | 6 Curry leaves | 2 Dried red chillies | 1 1/ | 2 tablespoons Dal tadka masala | 1 teaspoon Jagger, chopped | 1 tablespoon Fresh coriander leaves, chopped to serve Khakras","1. Heat a pressure cooker, add split pigeon peas, salt, ½ tsp turmeric powder, peanuts and 2 cups water. | 2. Cover the cooker and cook under pressure till 4-5 whistles are released. | 3. Meanwhile take multigrain flour, gram flour, salt, remaining turmeric powder and red chilli powder in a bowl and mix well. | 4. Add sufficient water and knead into stiff dough. | 5. Cover with a damp muslin cloth and set aside for 10-15 minutes. | 6. Take small portions of dough and roll them on back of a fork to shape into gnocchis. | 7. Uncover the cooker when the pressure settles completely. | 8. Heat ghee in a deep non-stick pan, add mustard seeds and let them splutter. | 9. Add asafoetida, fenugreek seeds, curry leaves, dried red chillies and the cooked pigeon peas. | 10. Mix well for 1 minute on medium heat. | 11. Add dal tadka masala and mix well. | 12. Add sufficient water to get the required consistency and mix well. | 13. Add the gnocchis and mix well. | 14. Cover and cook on medium heat for 15-20 minutes. | 15. Adjust salt, add jaggery and coriander leaves and mix till jaggery dissolves. | 16. Switch the heat off. | 17. Put ladles full of cooked dal dhokli into serving plates and serve hot with khakras.",Egg-free.,vegetarian-recipes.txt
Nachni Idiappam,"Finger millet or nachni is very high in proteins and very good for growing children. When the idiappams resemble nests, the children will simply devour them without complaint",South Indian,Snacks and Starters,51-60 minutes,21-25 minutes,4,Mild,Easy,vegetarian; egg-free; lacto-vegetarian,,"1. Boil 1 cup water in a deep non-stick pan. | 2. Add ghee and salt and mix well. | 3. Add nachni flour and mix well, stirring continuously till the mixture is smooth with no lumps. | 4. Cover and cook on low heat for 2-3 minutes till mixture thickens and forms soft dough. | 5. Grease the inner portion of chakli press with ghee. | 6. Transfer the cooked mixture into a bowl and spread it to let it cool down. | 7. Grease your palms with ghee and knead the dough lightly. | 8. Divide the dough into 2 portions. | 9. Shape a portion into a cylinder and put it into the chakli press fitted with sev attachment. | 10. Heat sufficient water in a steamer. | 11. Grease the idli moulds with ghee. | 12. Press the dough through the chakli press into greased moulds. | 13. Place the idli moulds in the steamer and steam for 8-10 minutes. | 14. Pour chutney in center of each idiyappam, and place the tempered potatoes in the centre of the nest. | 15. Serve immediately.",Egg-free.,vegetarian-recipes.txt
Neyyappam,A traditional sweet from Kerala – it is a sweet deep-fried rice and jaggery dumpling.,Kerala  Course:,Snacks and Starters,5-6 hour,21-25 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,"1 cup raw rice, washed and soaked for 4- | 5 hours | 2 tablespoons refined flour 1½ cups chopped jaggery | 2 teaspoons ghee ⅓ cup coconut slices | 1 tablespoon black sesame seeds | 1 teaspoon green cardamom powder ½ teaspoon cumin seeds ½ teaspoon dried ginger powder ¼ teaspoon nutmeg powder A pinch of salt ½ teaspoon soda bicarbonate Oil for deep frying","1. Heat a non-stick pan, add jaggery and ½ cup water and cook, stirring till a thick syrup is formed. | 2. Remove the impurities and set aside to cool down. | 3. Heat ghee in another non-stick pan, add coconut slices and saute till light brown. | 4. Drain rice and put it in a blender jar, add jaggery syrup and grind to a fine paste. | 5. Transfer into a mixing bowl, add refined flour and mix well. | 6. Add fried coconut slices, sesame seeds, cardamom powder, cumin seeds, ginger powder, nutmeg powder, salt and soda bicarbonate, mix well. | 7. Let the batter rest for 1 hour. | 8. Heat sufficient oil in a kadai, pour a ladleful of batter and deep fry on a medium low heat till golden brown in colour. | 9. Drain on an absorbent paper. | 10. Make more neyyappam with the remaining batter. | 11. Arrange them on a serving platter and serve hot with tea.",Egg-free.,vegetarian-recipes.txt
Nimboo Mirch Wale Chane,An excellent starter – marinated boiled chickpeas batter fried and sautéed with a spicy mixture .,Punjabi  Course:,Main,7-8 hours,26-30 minutes,4,Spicy,Easy,vegan; vegetarian; egg-free,"2 cups chickpeas (kabuli chane), soaked overnight and boiled | 1 lemon | 2 1/ | 2 teaspoons chaat masala | 3 tablespoons Punjabi chole masala | 2 tablespoons oil + to deep fry | 1 pinch hing (asafoetida) | 1 1/ | 2 cups refined flour (maida) | 1 cup cornflour | 1 pinch baking soda | 2 green chillies, finely chopped | 1 inch ginger, cut into thin strips | 1 teaspoon crushed black peppercorns 1/ | 4 bunch fresh coriander leaves Green capsicum, thinly sliced to garnish Red capsicum, thinly sliced to garnish","1. Take chickpeas in a bowl. | 2. Add 1½ tsps red chilli powder, salt, 1 tsp chaat masala and 2 tbsps Punjabi chole masala and mix well. | 3. Heat sufficient oil in a kadai, then add a pinch of hing. | 4. Take refined flour, cornflour, baking soda, salt and 1 tbsp oil in another bowl. | 5. Add little water and mix well to make a thick batter. | 6. Take 1 cup water in another bowl. | 7. Add marinated chickpeas to the batter and mix well. | 8. Dampen your fingers with water and pick each chickpea along with batter and slide into the hot oil. | 9. Separate the chickpeas with a spoon and deep fry till they are half done and float on top. | 10. Drain on absorbent paper. | 11. Reheat the oil in kadai to high temperature. | 12. Meanwhile heat 1 tbsp oil in a non-stick pan, add and sauté till lightly brown. | 13. Add green chillies, ginger strips and sauté till the mixture turns a light brown. | 14. Add the half fried chickpeas back in kadai, and deep fry till golden and crisp. | 15. Drain on absorbent paper. | 16. Add chickpeas to the pan. | 17. Add remaining red chilli powder, remaining Punjabi chole masala, remaining chaat masala, crushed black peppercorns and lemon juice. | 18. Chop coriander leaves and add, mix well and cook on medium heat for 1-2 minutes. | 19. Transfer into a serving bowl. | 20. Garnish with green and red capsicum slices and serve hot.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
Noon Chai Kashmiri,"A warm hug from the valley in every sip, blending tradition and comfort seamlessly.",Kashmiri  Course:,Snacks and Starters,Preparation Time,11-15 minutes,4,Sweet,Easy,vegetarian; egg-free; lacto-vegetarian,1 tablespoon regular tea leaves A pinch of baking soda Sugar as required 1½ cups milk ½ teaspoon salt Salted jeera biscuits to serve,"1. Mix tea leaves and baking soda in a bowl. | 2. Boil 2 cups water in a small stainless steel saucepan, add the tea leaves mixture. | 3. Constantly lift ladle full of mixture and pour it back into the pan on medium heat till colour changes. | 4. Add sugar as required and bring the mixture to a boil. | 5. Add milk and again lift ladle full of mixture and pour it back into the pan till colour changes. | 6. Add salt and again lift ladle full of mixture and pour it back into the pan. | 7. Strain the tea into serving cups and serve hot with salted jeera biscuit.",Egg-free.,vegetarian-recipes.txt
Oats Thalipeeth,"One of the most popular breakfast snacks amongst the Maharashtrian, this thalipeeth has oats flour replacing the traditional bhajanee flour",Maharashtrian  Course:,Snacks and Starters,11-15 minutes,31-40 minutes,4,Spicy,Easy,vegan; vegetarian; egg-free,"1½ cups oats flour | 1 small carrot, grated | 2 tablespoons chopped fresh coriander leaves ½ teaspoon cumin powder ½ teaspoon coriander powder | 1 pinch hing (asafoetida) | 3 green chillies, chopped Oil for drizzling Green chutney to serve","1. Take oats flour in a bowl. | 2. Warm a pinch of hing in a little hot oil before adding the main ingredients. | 3. Add carrot, coriander leaves, cumin powder, coriander powder, red chili powder, turmeric powder, garam masala powder, salt and green chillies and mix well. | 4. Add 1 cup water, and knead into soft dough. | 5. Take a non-stick tawa, add a portion of the dough, dip your fingers in water and spread it into a thick disc. | 6. Make a few holes in the center. | 7. Place the non-stick tawa on heat and cook for 4-5 minutes on medium heat. | 8. Drizzle a little oil. | 9. Flip and cook the other side for 2-3 minutes or until golden and crisp. | 10. Serve hot with green chutney.",Removed onion/garlic (and related alliums). Added hing (asafoetida). Egg-free.,vegetarian-recipes.txt
